Employee Name,Job Position,Company,Interview quote,Date,Tags
Aviv Ben-Yosef, Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”","August 16, 2021","['#coaching', '#consulting']"
Anand Safi, Engineering Manager , Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”","July 19, 2021","['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom, Senior Engineering Manager , Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”","July 05, 2021","['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle, CTO , p,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”","June 21, 2021","['#full-stack', '#health-tech']"
Arnab Sen, Technical Delivery Manager , AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”","May 10, 2021","['#consulting', '#digital-marketing', '#e-commerce', '#product']"
Aviv Ben-Yosef, Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”","April 26, 2021","['#autonomous-driving', '#devops', '#ios', '#self-taught']"
Anand Safi, Engineering Manager , Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”","April 12, 2021","['#full-stack', '#linux', '#self-taught', '#web']"
Shawn Axsom, Senior Engineering Manager , Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”","March 29, 2021","['#coaching', '#devops', '#self-taught', '#startup', '#web']"
Kevin Doyle, CTO , p,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”","March 15, 2021","['#cybersecurity', '#entrepreneurship', '#startup']"
Arnab Sen, Technical Delivery Manager , AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”","March 01, 2021","['#coaching', '#enterprise', '#hardware', '#systems-programming', '#telecommunications']"
Aviv Ben-Yosef, Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”","February 15, 2021","['#consumer-research', '#fintech', '#frontend', '#web']"
Anand Safi, Engineering Manager , Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”","February 01, 2021","['#fintech', '#frontend', '#self-taught']"
Shawn Axsom, Senior Engineering Manager , Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”","January 18, 2021","['#cloud', '#self-taught', '#web']"
Kevin Doyle, CTO , p,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”","November 30, 2020","['#android', '#cloud', '#distributed-systems', '#mobile']"
Arnab Sen, Technical Delivery Manager , AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”","November 16, 2020","['#cloud', '#enterprise', '#infrastructure', '#self-taught']"
Aviv Ben-Yosef, Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”","November 02, 2020","['#adtech', '#mentorship']"
Anand Safi, Engineering Manager , Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”","October 19, 2020","['#game-development', '#remote', '#web']"
Shawn Axsom, Senior Engineering Manager , Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”","October 05, 2020","['#distributed-teams', '#health-tech']"
Kevin Doyle, CTO , p,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”","September 21, 2020","['#e-commerce', '#frontend', '#startup']"
Arnab Sen, Technical Delivery Manager , AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”","September 07, 2020","['#data-platform', '#distributed-teams', '#media']"
Aviv Ben-Yosef, Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”","August 24, 2020","['#infrastructure', '#mobile', '#network-engineering', '#startup']"
Anand Safi, Engineering Manager , Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”","August 10, 2020","['#embedded-systems', '#infrastructure', '#internet-of-things']"
Shawn Axsom, Senior Engineering Manager , Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”","July 27, 2020","['#product', '#web']"
Kevin Doyle, CTO , p,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”","July 13, 2020","['#elixir', '#product', '#ruby-on-rails', '#web']"
Arnab Sen, Technical Delivery Manager , AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”","June 29, 2020","['#mentorship', '#open-source']"
